handle,Team,active,Name
KingJames,Cavaliers,Yes,Lebron James
KDTrey5,Warriors,Yes,Kevin Durant
SHAQ,Lakers,No,Shaquille O'Neal
kobebryant,Lakers,No,Kobe Bryant
StephenCurry30,Warriors,Yes,Steph Curry
dennisrodman,Other,No,Dennis Rodman
DwightHoward,Other,Yes,Dwight Howard
paugasol,Other,Yes,Pau Gasol
manuginobili,Other,Yes,Manu Ginobili
russwest44,Other,Yes,Russell Westbrook
JHarden13,Other,Yes,James Harden
paulpierce34,Other,Yes,Paul Pierce
RealLamarOdom,Other,Yes,Lamar Odom
blakegriffin32,Other,Yes,Blake Griffin
MagicJohnson,Lakers,No,Magic Johnson
swish41,Other,Yes,Dirk Nowitzki
SteveNash,Other,No,Steve Nash
kevinlove,Cavaliers,Yes,Kevin Love
CP3,Other,Yes,Chris Paul
DwyaneWade,Other,Yes,Dwayne Wade